ScientificName,AphiaID,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Notorynchus cepedianus,217628,Notorynchus cepedianus,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Notorynchus,cepedianus
Lysimachia nummularia,,,,,,,,,
Rorippa amphibia,,,,,,,,,
Salvinia natans,,,,,,,,,
Hizikia fusiformis,494972,Sargassum fusiforme,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Hizikia,fusiformis
Indoplanorbis exustus,716351,Indoplanorbis exustus,Animalia,Mollusca,Gastropoda,,Bulinidae,Indoplanorbis,exustus
Oncorhyncus mykiss,127185,Oncorhynchus mykiss,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,mykiss
Azolla pinnata,,,,,,,,,
Neptunia oleracea,,,,,,,,,
Sarcocornia ambigua,,,,,,,,,
Ellisolandia elongata,732248,Ellisolandia elongata,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Ellisolandia,elongata
Lemna perpusilla,,,,,,,,,
Lemna trisulca,715973,Lemna trisulca,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Lemna,trisulca
Euryglossa panoides,279969,Brachirus panoides,Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Euryglossa,panoides
Myelophycus simplex,371956,Myelophycus simplex,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Myelophycus,simplex
Najas armata,,,,,,,,,
Cirrhina mirgala,280191,Cirrhinus cirrhosus,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cirrhina,mrigala
Limicolaria flammea,1316793,Limicolaria flammea,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Limicolaria,flammea
Liza tade,1509578,Planiliza tade,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza,tade
Chalcalburnus mosullensis,307776,Alburnus mossulensis,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Chalcalburnus,mossulensis
Ophiocephalus argus,594763,Channa argus,Animalia,Chordata,Actinopteri,Anabantiformes,Channidae,Ophiocephalus,argus
Gerreomorpha decacantha,276955,Gerres decacanthus,Animalia,Chordata,Actinopteri,Eupercaria,Gerreidae,Gerreomorpha,decacantha
Liza falcipinnis,1042873,Neochelon falcipinnis,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza,falcipinnis
Anodontites trapesialis,1324136,Anodontites trapesialis,Animalia,Mollusca,Bivalvia,Unionida,Mycetopodidae,Anodontites,trapesialis
Hemirhamphus georgii,220015,Rhynchorhamphus georgii,Animalia,Chordata,Actinopteri,Beloniformes,Hemiramphidae,Hemirhamphus,georgii
